id,text_sha256,char_len,word_count,source_document
56,1df9a94ce4cbe85bf887c9ffd4ffda1bdeee2a44218b2a39a9cf07664a624e84,226,43,
57,3f0ab570035f2826ec248f5681329da3991c8028603b37ed44b3a0b1a9a7e399,268,48,
58,ade218f55fe727746e4c058391747b388e7db53673d7bf4fb89de34127008934,415,78,
59,6cd866939e65750584ccc39ce01c3d3fcde2e1ab90055bca9f1a7666c9b7bd4a,311,55,
60,a61640adbd73e7a4f6a1af1ca05db48487907b45d9190e986105a255fa6735c3,232,40,
61,29d9f28d557cf5b46ca2c06437d6230e90f26d689cdd3d467d40fdcb908a55b9,90,13,
62,23c9ad0caba10a831c434b94a79b11bb3c23b0867b83457745360e64420426a2,100,15,
63,264684ac53918cf9bc03c5d54df55547080b78841a6d82dcccfff63a051b40db,100,14,
64,7bb1d15efabfbfb157274db5485c1f1c24f0ab5773d1c15217199002d2878f70,186,25,
65,8a5d1ea36ec8a682b66f0159bd5d284de103e15dc303a8c6fde0da60082d6c7a,190,32,
66,d40894d831458f583facf6f2a91cb7aca75dd3f584446c5673f9c4faca6112e9,176,26,
67,040b5c76d853d762048b33b25efb200d7892b8b75233f482d0029f897ae0005f,221,37,
68,a311d0980ea4284105995a70aab179fdf41531764c4ac5067fedd8eead8815c2,234,35,
69,c02a85d5343266c05fad390f40f4b0ca99615585d5e831060fcd0ff6c43af731,66,13,
70,0cab81fb90a059a7625c24f97e23867311760ff57f58106e50096a3e694bac4d,73,14,
71,77c603872185b8c34c66fdec4b2d1c51d15b92292734e6e0a5ae2c016cea383a,64,13,
72,f57b8496843da98a998978e811b3b57f1c65f9c8cf711661f9d6058a7ca75eda,83,17,
73,ca204c2f80a3b2fd369b8b66c6033d19af381ebea773e161e1b1747c135af6e6,144,29,
74,e76859a7e3833310d1dc5a3a48fac1306bca61a9639a09775aca54550a7c12e0,164,29,
75,9a13403a9908b342fd55a770b27c8df26c4c6520b516c04cfbe3befc9f3b7ff0,238,44,
76,5013d937081531a6b7638301f278550ce542ee7f40eb62edc36ad70e05dfb0db,151,28,
77,0032b3aa3686801d983dc413804e07bee50aefc9d79aa5320e811a9e930a7da4,201,37,
78,30c556d15e4e952e5de8aa66200da5ba76c596f2833a740e94441a4e8f297496,184,37,
79,a9681044f993b80bcb6e18c10e5ff830831ecbd1055794ca0034f07f0b053323,352,62,
80,2fa377789cf4a7c7fd2a58e82166f3202f8e4372f114e9770377d11712fe8c6c,289,51,
81,2cd8170963b7718035220eecffc444addccfb6a3a02d5ce106313ba8d97bb18d,252,47,
